year,day,hour,xco2
2018,159,20.629,405.69
2018,159,21.21,405.71
2018,159,21.087,405.83
2018,159,21.011,405.85
2018,159,21.168,405.93
2018,159,17.109,405.95
2018,159,20.358,405.96
2018,159,20.546,405.99
2018,159,21.203,406.01
2018,159,18.153,406.05
2018,159,17.065,406.06
2018,159,20.838,406.07
2018,159,20.756,406.08
2018,159,21.122,406.11
2018,159,21.246,406.11
2018,159,21.254,406.11
2018,159,16.931,406.15
2018,159,19.991,406.15
2018,159,20.069,406.15
2018,159,20.994,406.15
2018,159,20.767,406.16
2018,159,20.798,406.16
2018,159,20.755,406.17
2018,159,20.904,406.17
2018,159,21.144,406.17
2018,159,16.671,406.19
2018,159,20.853,406.21
2018,159,17.524,406.22
2018,159,20.258,406.22
2018,159,20.272,406.22
2018,159,20.99,406.22
2018,159,16.52,406.23
2018,159,17.915,406.24
2018,159,18.347,406.24
2018,159,21.183,406.24
2018,159,21.214,406.24
2018,159,16.484,406.26
2018,159,21.234,406.26
2018,159,19.949,406.27
2018,159,20.874,406.27
2018,159,16.57,406.28
2018,159,18.538,406.29
2018,159,20.091,406.29
2018,159,21.099,406.29
2018,159,17.804,406.3
2018,159,20.348,406.3
2018,159,20.556,406.3
2018,159,20.638,406.3
2018,159,20.68,406.3
2018,159,21.215,406.3
2018,159,16.572,406.31
2018,159,16.985,406.31
2018,159,19.518,406.31
2018,159,20.253,406.31
2018,159,20.506,406.31
2018,159,21.114,406.31
2018,159,21.178,406.31
2018,159,21.2,406.31
2018,159,21.221,406.31
2018,159,21.26,406.31
2018,159,17.246,406.32
2018,159,17.693,406.32
2018,159,18.984,406.32
2018,159,19.588,406.32
2018,159,20.378,406.32
2018,159,20.497,406.32
2018,159,21,406.32
2018,159,21.107,406.32
2018,159,18.159,406.33
2018,159,20.188,406.33
2018,159,20.908,406.33
2018,159,21.173,406.33
2018,159,16.521,406.34
2018,159,16.982,406.34
2018,159,18.765,406.34
2018,159,20.252,406.34
2018,159,17.083,406.35
2018,159,17.832,406.35
2018,159,20.117,406.35
2018,159,20.536,406.35
2018,159,20.604,406.35
2018,159,20.945,406.35
2018,159,16.863,406.36
2018,159,17.251,406.36
2018,159,19.334,406.36
2018,159,20.843,406.36
2018,159,21.079,406.36
2018,159,21.256,406.36
2018,159,17.09,406.38
2018,159,17.177,406.38
2018,159,17.242,406.38
2018,159,18.11,406.38
2018,159,19.015,406.38
2018,159,21.226,406.38
2018,159,16.537,406.39
2018,159,16.799,406.39
2018,159,21.104,406.39
2018,159,21.236,406.39
2018,159,16.423,406.4
2018,159,16.653,406.4
2018,159,18.341,406.4
2018,159,19.507,406.4
2018,159,20.243,406.4
2018,159,20.389,406.4
2018,159,20.582,406.4
2018,159,20.691,406.4
2018,159,20.806,406.4
2018,159,20.975,406.4
2018,159,17.298,406.41
2018,159,18.422,406.41
2018,159,19.238,406.41
2018,159,19.636,406.41
2018,159,19.716,406.41
2018,159,20.879,406.41
2018,159,20.923,406.41
2018,159,16.53,406.42
2018,159,17.863,406.42
2018,159,19.097,406.42
2018,159,19.481,406.42
2018,159,19.792,406.42
2018,159,20.531,406.42
2018,159,20.566,406.42
2018,159,20.74,406.42
2018,159,21.016,406.42
2018,159,21.089,406.42
2018,159,21.133,406.42
2018,159,21.18,406.42
2018,159,16.348,406.43
2018,159,16.641,406.43
2018,159,16.727,406.43
2018,159,16.99,406.43
2018,159,16.992,406.43
2018,159,17.155,406.43
2018,159,17.281,406.43
2018,159,18.635,406.43
2018,159,19.052,406.43
2018,159,20.553,406.43
2018,159,21.092,406.43
2018,159,16.565,406.44
2018,159,16.804,406.44
2018,159,16.94,406.44
2018,159,17.099,406.44
2018,159,17.288,406.44
2018,159,17.935,406.44
2018,159,20.446,406.44
2018,159,20.95,406.44
2018,159,20.979,406.44
2018,159,21.031,406.44
2018,159,17.4,406.45
2018,159,17.635,406.45
2018,159,18.079,406.45
2018,159,18.195,406.45
2018,159,20.284,406.45
2018,159,20.639,406.45
2018,159,21.027,406.45
2018,159,16.471,406.46
2018,159,16.54,406.46
2018,159,19.213,406.46
2018,159,20.1,406.46
2018,159,20.201,406.46
2018,159,20.592,406.46
2018,159,21.048,406.46
2018,159,16.965,406.47
2018,159,16.987,406.47
2018,159,17.126,406.47
2018,159,17.363,406.47
2018,159,19.559,406.47
2018,159,19.854,406.47
2018,159,16.607,406.48
2018,159,17.237,406.48
2018,159,17.652,406.48
2018,159,17.681,406.48
2018,159,18.836,406.48
2018,159,19.812,406.48
2018,159,20.044,406.48
2018,159,20.071,406.48
2018,159,20.696,406.48
